date,project_id,num_transactions,total_vol_in_usd
2024-04-01,4974,16.05,16.05
2024-04-01,4974,97.46,97.46
2024-04-01,0,2.64,2.64
2024-04-01,0,0.08,0.08
2024-04-01,4974,24.64,24.64
2024-04-01,4974,38.78,38.78
2024-04-01,4974,165.49,165.49
2024-04-01,0,22.54,22.54
2024-04-01,0,3.02,3.02
2024-04-01,0,40.33,40.33
2024-04-01,4974,10.26,10.26
2024-04-01,4974,432.65,432.65
2024-04-01,4974,8.40,8.40
2024-04-01,0,9.19,9.19
2024-04-01,4974,1.03,1.03
2024-04-01,4974,1.60,1.60
2024-04-01,4974,4.27,4.27
2024-04-01,4974,6.48,6.48
2024-04-01,4974,97.78,97.78
2024-04-01,4974,67.93,67.93
2024-04-01,0,39.18,39.18
2024-04-01,0,186.80,186.80
2024-04-01,4974,92.76,92.76
2024-04-01,4974,22.76,22.76
2024-04-01,4974,4.68,4.68
2024-04-01,4974,60.90,60.90
2024-04-01,0,80.77,80.77
2024-04-01,4974,3.65,3.65
2024-04-01,4974,8.75,8.75
2024-04-01,4974,3.89,3.89
2024-04-01,4974,9.72,9.72
2024-04-01,4974,8.81,8.81
2024-04-01,4974,10.16,10.16
2024-04-01,4974,7.58,7.58
2024-04-01,0,18.58,18.58
2024-04-15,4974,14.53,14.53
2024-04-15,4974,71.53,71.53
2024-04-15,4974,40.94,40.94
2024-04-15,4974,28.50,28.50
2024-04-15,4974,22.60,22.60
2024-04-15,4974,43.30,43.30
2024-04-15,4974,57.53,57.53
2024-04-15,4974,12.15,12.15
2024-04-15,4974,12.98,12.98
2024-04-15,4974,11.65,11.65
2024-04-15,4974,12.53,12.53
2024-04-15,4974,49.70,49.70
2024-04-15,4974,9.82,9.82
2024-04-15,4974,5.66,5.66
2024-04-15,4974,1.97,1.97
2024-04-15,4974,0.60,0.60
2024-04-15,4974,5.64,5.64
2024-04-15,0,1.87,1.87
2024-04-15,0,0.63,0.63
2024-04-15,0,0.06,0.06
2024-04-15,0,0.40,0.40
2024-04-15,0,2.72,2.72
2024-04-15,0,7.23,7.23
2024-04-15,0,11.13,11.13
2024-04-15,0,9.74,9.74
